Simulation,rho_res_S,rho_res_R,Emax_v,EC50_V,Emax_l,EC50_L,B_max_blood,B_max_reservoir
1,0.09953779114237674,0.0796302329139014,0.19045590110431415,2.0767957312628202,0.17136304833647947,2.9938486953596715,275594.9050414692,63932372.94802663
2,0.10738377005985626,0.08590701604788502,0.16940450630140455,2.016499456015608,0.08488387375621122,2.8360984366116844,364523.1120074792,1056419.98844951
3,0.0534051252174736,0.04272410017397888,0.16393439842615876,1.3040201036126406,0.11175429444549173,2.5575354135839956,137948.96408619176,55947409.71845177
4,0.08129247727688003,0.06503398182150404,0.2048337104004345,1.161844385158041,0.08248785987926129,3.245341033117562,160834.49117183936,15548291.07808696
5,0.07318534598822146,0.05854827679057717,0.18039716398942723,1.4632689065812094,0.18,3.152316571668137,169893.11664152978,26282445.43702673
6,0.06150864050035042,0.049206912400280335,0.2153320488967822,1.0000924547735304,0.06251845611315697,3.3111924951290606,487960.1224647396,12230178.525222264
7,0.08384063261427578,0.06707250609142063,0.17979783705448535,1.1444660290863342,0.0775249473807902,2.839475417266562,588401.8605320058,14973228.556673855
8,0.05283757705479934,0.04227006164383948,0.22428746045775233,1.5548571296338363,0.07871069766054337,3.6483332987095944,579442.148184287,29863652.122795243
9,0.06845191488743364,0.05476153190994692,0.1792829861448379,1.90055405122274,0.14119872933500177,2.8271996571669056,283555.4612409027,2726110.0297646187
10,0.06193481062268992,0.04954784849815194,0.26657731033753945,2.532998005369516,0.09748553977808831,3.9982868773081726,391069.6277947751,4686593.307991285
11,0.09583358953622988,0.0766668716289839,0.3445498033224487,1.714747092438948,0.17390357361775471,1.7141774118670263,512470.6600372292,11076735.095436377
12,0.07964106700021199,0.0637128536001696,0.20659663022042588,0.9923033566216827,0.09252547270105918,3.4375766666185195,753379.4798116105,5439718.415756542
13,0.06904387403222553,0.05523509922578043,0.16748147260783502,2.238609978419285,0.11232897830039204,2.7939667252037723,427499.4592030996,11208031.991757687
14,0.11361322161788495,0.09089057729430797,0.15602850775226632,1.580081027304434,0.08705172671333164,2.2461090038760023,376305.77821286087,13589124.119706113
15,0.08672673844168613,0.06938139075334891,0.1840774224016311,1.1649018512329496,0.08617761275729005,2.9188328823224094,197395.58337278207,8273921.032292386
16,0.09698610594010963,0.07758888475208771,0.3896934669479226,1.8189019855075987,0.10953586014701797,3.1077251319175563,102451.31736292285,9693319.16162575
17,0.0880768000936067,0.07046144007488536,0.4779157058064035,1.6411470194877997,0.11125349701876455,3.1367234015405403,159172.43039493557,38288897.78244549
18,0.10691825556129209,0.08553460444903367,0.2645586755376335,1.3423782034386549,0.16422928214407664,2.278718389353761,446383.8178219646,131092969.43028897
19,0.06560967604052052,0.05248774083241642,0.16370207252388996,1.7811055379046565,0.08368985576970348,2.2008169574896086,329223.29318141256,2870835.5089775044
20,0.09889486630891031,0.07911589304712825,0.14448362582902774,2.6743009738269077,0.0758058437748257,2.9329578781532297,509952.70803691034,2355092.6757728667
21,0.0923030024286532,0.07384240194292256,0.3175336679982562,1.1038407918351705,0.10674740126176453,3.360331182059966,500546.70880584355,2338313.292775008
22,0.059815229800496715,0.047852183840397376,0.2405433169134746,1.8823830336498977,0.10926281326313753,3.429018252178321,212092.00891568992,13137017.67617226
23,0.09401601352541569,0.07521281082033256,0.15535137286061787,2.921814476309412,0.11824273050751057,2.3936709996522794,465037.70370843,3182097.142347978
24,0.10797676802470928,0.08638141441976743,0.3012831926950677,1.3761684674181947,0.14059238289740192,3.482599898865241,512518.12008728785,92843503.78456482
25,0.08084688919364166,0.06467751135491333,0.15320259480030832,1.3498755440196406,0.07493804587492016,3.105796499956284,386392.3905413787,13841041.639028253
26,0.10919705223205395,0.08735764178564316,0.20092173223748963,2.603016701076659,0.09106515303350686,5.972261448930037,456676.8715652225,3653210.6589341434
27,0.064148628184817,0.051318902547853595,0.23720910637909545,1.6269040584238172,0.1287244375457399,3.5321640285296647,302985.0470965327,3697961.5289094415
28,0.05664369803335714,0.04531495842668572,0.17078558952144787,2.2018963371649165,0.10786535039780937,2.3634065987938504,350089.27602892846,15724994.414689003
29,0.06760086798741365,0.05408069438993092,0.21117384736679046,1.7605383045399385,0.06675056201223592,3.4381189193643795,439599.5884160983,35692516.165376626
30,0.11635732622750203,0.09308586098200163,0.12286785004250342,1.331722147148849,0.11997826678697178,3.565801302055461,427946.73361932643,924015660.7734369
31,0.10162869412440267,0.08130295529952214,0.29883936977991393,2.2629584288990405,0.12590560199130574,2.9376181676874435,493872.21886958316,4033679.8084038994
32,0.0810412905423305,0.0648330324338644,0.16845526696369734,1.7722537581196585,0.18,2.043826369974847,473223.5782318491,1503785.1090985844
33,0.0758734148161073,0.06069873185288585,0.29395331328337965,1.7635364668412614,0.06830817794615344,2.6753815231720743,471375.2466786754,4239981.516967821
34,0.09201885046703111,0.0736150803736249,0.20324937820711175,1.442950217294609,0.18,3.667351059038193,96245.84575545967,12448864.859963143
35,0.07194184195167602,0.05755347356134082,0.2703662305964034,1.3870728723109278,0.09602360461656727,3.5584751662086744,525842.7819310247,2441202.881736803
36,0.07885276845268532,0.06308221476214826,0.16907706378855863,1.4422512278449209,0.18,3.476256734763379,150780.76069559072,29396587.057128534
37,0.15697411261876512,0.1255792900950121,0.28813960828715957,1.131438912391454,0.08426128365751255,4.252172514619242,208675.7942181634,16843738.243795443
38,0.10760065378984023,0.08608052303187219,0.14410059475147788,1.7033956039870923,0.031782228092083906,2.4889087398189575,272627.3041676128,2308744.785559752
39,0.13684184784464615,0.10947347827571692,0.12060887164286159,1.5310902331497984,0.10473214975966123,4.4290573348702855,136053.16051787345,39214880.32297904
40,0.08685126425986292,0.06948101140789034,0.14134592393955075,1.971538986725565,0.10729338034157904,2.748329494522167,329463.00429100177,6359330.996924126
41,0.08940202391562649,0.0715216191325012,0.2527693912022664,2.7014817558240556,0.06454876867365697,5.206376137100957,100465.83970767447,8366785.305390805
42,0.10212626019068667,0.08170100815254934,0.2208953727434454,1.4546851344823777,0.09290416484220423,2.818077017429026,223692.71863563845,27131290.886776425
43,0.09571601979306814,0.07657281583445452,0.15653385289696606,2.228717748321602,0.1114800434485853,3.8240005725372916,457740.7770539774,3776098.9119154084
44,0.07401988690721613,0.05921590952577291,0.260497991225354,2.055188227786906,0.09926354760055063,3.2502032893225556,669784.2369233523,4990888.446126669
45,0.10095326603422239,0.08076261282737791,0.1861983751629469,1.629542326510308,0.14748829205222225,3.8352386660232334,509950.43709411786,46351160.904637806
46,0.08711382957528754,0.06969106366023003,0.2545475516925975,1.5878030483439696,0.11214699752735544,3.0675276617206646,334767.94674410555,20121091.851445984
47,0.06885591023474318,0.05508472818779454,0.41917263280574735,1.306512647922557,0.06509036971389823,4.145395602955093,503448.1726702343,20817495.43464025
48,0.1032783896519435,0.0826227117215548,0.19913566735438104,1.346950591192116,0.10271705858346152,2.6993408064877102,560731.6033623231,8413384.241696654
49,0.06871563526020603,0.05497250820816483,0.17851281330187618,1.9445558294544147,0.08192555419782398,2.609348238300127,364892.6411565682,13334690.63310276
50,0.07513256970335441,0.06010605576268353,0.16931083885058099,1.848436322595933,0.05992298755009791,2.2757307666368645,207359.24978851122,7782128.397914479
51,0.09448712255332052,0.07558969804265642,0.33699630282830323,2.2026745316254015,0.09450081713009609,3.148252549945984,175490.1370359783,9784857.887114378
52,0.07987238620155053,0.06389790896124042,0.224179184430604,1.373645093252914,0.12016133207328276,4.5247695312278315,296657.3167044875,16030791.301846726
53,0.10508270303623826,0.08406616242899062,0.17354330115598118,1.8443186394813658,0.10044631892158391,3.2353079078562685,200818.45734195417,10292128.288906818
54,0.09957362027652315,0.07965889622121852,0.33412302199012855,2.2663026040809897,0.18,2.6430323301753686,527874.6113400082,12403431.132533226
55,0.15997850444592582,0.12798280355674066,0.1502747807976476,1.368844812176529,0.0808986439924949,1.9248286340494563,232208.87852265808,4099089.65779347
56,0.09033077829022418,0.07226462263217935,0.22569356639684204,2.930340054542832,0.13994986754937022,2.7633471513897816,186557.44440117874,17822932.779913235
57,0.05981897503239411,0.047855180025915295,0.38222383285481226,2.410547627705716,0.08471120209286044,2.1188031994503493,700447.5259496176,8741003.687378425
58,0.1225154772581347,0.09801238180650777,0.11380125759084936,1.4642253878750404,0.1001856136653887,3.1971959153965672,242765.73007365954,20786462.097623024
59,0.06420748100979509,0.05136598480783608,0.19017892832745628,1.7914403946015742,0.11995296285881585,3.7345631171370473,163343.36839871068,1649258.3380776823
60,0.12389179989620941,0.09911343991696753,0.2249412058360664,1.4042967269449167,0.17307580629511934,3.2489478932301115,632180.5331253199,10825505.993551724
61,0.1542956751128386,0.12343654009027089,0.3720720610859362,1.6153180803013174,0.1410004204657495,3.6771854965312074,706546.4252777415,3218786.061063203
62,0.10496224587117707,0.08396979669694166,0.29079702166497484,1.058026009406207,0.06580625732288888,1.9633002265962558,269944.0545733802,23232341.75374839
63,0.13194393379563307,0.10555514703650647,0.205309937544788,2.7339270781672074,0.061381108403559634,2.123638579595897,306076.27596601576,15701883.820762703
64,0.08581262818484345,0.06865010254787476,0.09627162864639381,1.6893258080399192,0.06304502072025436,3.698128650119531,392211.1724537743,3314892.8642029664
